,Head/Neck/Face,LowerExt,Other/Multiple,Trunk,UpperExt,Mean_Abs_Importance
Product_Category_Apparel/Personal,0.5735533995756381,0.41022254183100787,-1.1194226269721543,0.12028314675915591,0.015363538806351813,0.44776905078886164
Disposition_6,0.15252989850253026,0.2067042612377081,-0.8582729377650781,-0.20176920063348328,0.7008079786583132,0.4240168553594225
Age_Category_85+,-0.00024117764625181573,-0.5035151732501828,0.47121882704573226,0.4954168973371437,-0.46287937348641534,0.3866542897531452
Age_Category_25-44,-0.30476067620130154,0.3124139526541157,-0.5591223366607234,0.28381421950935115,0.2676548406985544,0.34555320514480925
Fire_Involvement_1,0.20506302828089146,-0.31823905412499054,0.6262683980189858,-0.35532905537918524,-0.15776331679568933,0.3325325705199485
Age_Category_10-14,0.027933065378075102,0.41085329820824396,-0.4054109932085063,-0.42564253646516464,0.39226716608736417,0.33242141186947083
Age_Category_75-84,-0.03181718223992615,-0.31634392648493576,0.337393064928519,0.3813388420194262,-0.37057079822308875,0.2874927627791792
Product_Category_Home/Furniture,0.3988820465094546,-0.4777343091830511,0.2798090234412437,0.015190785281022063,-0.21614754604864286,0.2775527420926828
Age_Category_45-64,-0.2620060687985961,0.20543489844227517,-0.41653198981895867,0.4031460919497678,0.06995706822551849,0.27141522344702323
Age_Category_15-24,-0.12845544360756692,0.35875237226710804,-0.30820381880915176,-0.2029854458739007,0.2808923360235234,0.25585788331625015
Disposition_4,0.08013353854870518,-0.009884620870929834,0.2880400793885015,0.2638635295728261,-0.6221525266391058,0.2528148590040137
Age_Category_5-9,0.5143625573501212,-0.014114295163729815,-0.1194591610131242,-0.49661869105212825,0.11582958987886292,0.25207685889159326
Location_5,0.21556714441319805,-0.09760577187249488,0.39124189211971805,-0.27932454694273207,-0.22987871771769516,0.24272361461316763
Fire_Involvement_2,0.5155794780183539,-0.05370327793603616,0.056019390587679754,-0.531075431918173,0.013179841248178214,0.2339114839416842
